"ID","Position","Name_of_Org","Date_Start","Date_End","ID_PK","Date_Start_Change","Date_End_Change"
"79","Program Director","Chess Club","08/18/07 00:00:00",,"31",,
"160","Member","FFA","08/16/06 00:00:00","05/26/07 00:00:00","51",,
"169","Volunteer","Down Syndrome Support Group of B/Cs","09/20/07 00:00:00",,"54",,
"180","Board Member","International Thespian Society","05/20/05 00:00:00",,"58",,
"180","Shop Foreman","Tiger Teatre","02/10/07 00:00:00","05/10/07 00:00:00","59",,
"180","Actor","Tiger Teatre","09/01/07 00:00:00",,"60",,
"194","Draftsman","Stylecraft Builders","05/20/07 00:00:00",,"66",,
"198","Member","Colorguard","08/27/05 00:00:00","07/10/06 00:00:00","67",,
"9922","President","Family, Community, and Career Leaders of America","09/01/08 00:00:00","06/01/10 00:00:00","7127","Month-Only","Month-Only"
"9927","Girl Scout Member","Girl Souts U.S.A Patriots' Trail","06/01/00 00:00:00","06/01/03 00:00:00","7128","Month-Only","Month-Only"
"9927","Lead Dancer","Radolph Dance Academy","06/01/98 00:00:00","09/01/00 00:00:00","7129","Month-Only","Month-Only"
"9927","High Ranked","Tae-Kwon-Do","09/01/02 00:00:00","12/01/05 00:00:00","7130","Month-Only","Month-Only"
"9934","Welder","Kewanee Highschool","08/22/11 00:00:00",,"7144",,
"9936","Outfield","Softball","01/01/00 00:00:00",,"7204","Year-Only",
"9972","Member","National Honor Society","05/01/11 00:00:00",,"7247","Month-Only",
"9970","Pitcher, Quarterback","Baseball, Football","01/01/11 00:00:00","01/01/11 00:00:00","7248","Year-Only","Year-Only"
"10005","Historian","FCCS First Student Council","08/01/10 00:00:00","05/01/11 00:00:00","7253","Month-Only","Month-Only"
"10003","Flier","Cheerleading","04/01/11 00:00:00",,"7254","Month-Only",
"10016","Bronc Rider, Heeler","Louisiana High School Rodeo","08/01/06 00:00:00",,"7255","Month-Only",
"10101","Volunteer","PKD Foundation","08/01/11 00:00:00",,"7468",,
"10102","Member","American Legion","11/11/93 00:00:00",,"7469",,
"10108","Egineer trainer","Engineer","05/18/14 00:00:00","12/25/15 00:00:00","7470",,
"10109","The boss","Joe stand""s","10/28/09 00:00:00",,"7471",,
"10123","Shooting guard/point guard","Grant High School","09/17/11 00:00:00",,"7472",,
"10137","Member ","WIA School to Work","09/05/07 00:00:00",,"7473",,
"10153","Secretary","Business Professionals of America ","10/01/11 00:00:00",,"7474","Month-Only",
"10153","President","Drama Club","09/01/09 00:00:00",,"7475","Month-Only",
"10153","Secretary ","Club P.E.A.C.E.","09/01/11 00:00:00",,"7476","Month-Only",
"10153","Member","Junior Statesmen of America","09/01/11 00:00:00",,"7477","Month-Only",
"10153","Member","IDFY","09/01/07 00:00:00","09/06/11 00:00:00","7478","Month-Only",
"10153","Member","FCCLA","09/01/10 00:00:00",,"7479","Month-Only",
"10148","Trumpet Player","Timberlake High School Band","09/06/10 00:00:00",,"7480",,
"10148","Assistant Coach","Athol Elementary Wrestling Team","05/01/08 00:00:00",,"7481",,
"10154","Member/ Representitive","People to people Student Ambassador","04/16/10 00:00:00",,"7482",,
"10154","Counselor","Camp Counselor JCC Summer Camp","06/10/08 00:00:00","07/10/08 00:00:00","7483",,
"10154","U.S. Student ambassador","U.S. Student Ambassador","04/16/10 00:00:00","11/21/11 00:00:00","7484",,
"10154","Student Ambassador","Student Ambassador","04/16/10 00:00:00",,"7485",,
"10301","Member","Trio","01/01/08 00:00:00",,"7724","Year-Only",
"10301","Member","Tabu","01/01/08 00:00:00",,"7725","Year-Only",
"10404","Member","IEEE Computer Society","04/10/18 00:00:00","01/01/21 00:00:00","7837",,"Year-Only"
"10426","Member","Creative Writing Club","08/01/10 00:00:00",,"7838","Month-Only",
"10449","Member","Key Club","08/01/11 00:00:00",,"7839","Month-Only",
"10749","Member","4-H","01/09/05 00:00:00",,"8133",,
"10783","Helping take care of children in the nurserys","Community Servie ","02/03/11 00:00:00","04/03/11 00:00:00","8134",,
"12356","President","Thespian Troupe 5439","02/01/13 00:00:00","05/23/14 00:00:00","10369","Month-Only",
"12725","Cadet","JROTC","08/04/13 00:00:00",,"10667",,
"12612"," seaman apprentice","NJROTC","08/07/11 00:00:00",,"10668",,
"10154","Memeber","City to protect Freighberg, Germany","06/06/10 00:00:00","06/26/11 00:00:00","7486",,
"10151","President","Kootenai County 4-H Program","01/01/10 00:00:00",,"7487",,
"10156","Volunteer","Leahi Hospital","11/12/11 00:00:00","11/12/11 00:00:00","7488",,
"10158","Member","Beta Club","01/01/10 00:00:00",,"7489","Year-Only",
"10158","Member","Student Participation Organization","01/01/09 00:00:00",,"7490","Year-Only",
"10158","Historian","Future Business Leaders of America","01/01/08 00:00:00",,"7491","Year-Only",
"10158","Member","French Club","01/01/09 00:00:00",,"7492","Year-Only",
"10158","Member","Drama Club","01/01/08 00:00:00","01/01/10 00:00:00","7493","Year-Only","Year-Only"
"10158","Sports Photographer","Yearbook","08/26/09 00:00:00",,"7494",,
"10158","Member","Ambassadors","01/01/09 00:00:00",,"7495","Year-Only",
"10158","Member","Project Teach","01/01/08 00:00:00",,"7496","Year-Only",
"10158","Member","Natuiona; Honor Society","01/01/11 00:00:00",,"7497","Year-Only",
